Egypt2	1144.2095	86.8	997.338	11490.07	0.021768758	0.214884545	0.031227461
Algeria2	4842.6227	39.114	552.991	14137.94	0.016345653	0.322458182	0.02121523
Morocco2	554.6121	33.179	259.446	7819.591	0.013190719	0.286780909	0.035834391
Tunisia2	38.4038	10.998	124.873	11354.456	0.010241918	0.241972727	0.039636337
SaudiArabia2	1594.475	30.77	1614.388	52465.666	0.028824171	0.22489	0.008834436
UnitedArabEmirates2	874.9476	9.302	612.825	65882.964	0.101404199	0.231417273	-0.037343748
Qatar2	251.1646	2.235	307.016	137340.656	0.104359749	0.231417273	0.075350035
Kuwait2	27.5147	3.999	283.618	70930.829	0.039699383	0.163753636	0.03786288
Bahrain2	6.9194	1.268	61.711	48661.363	0.062449201	0.243427273	-0.001120464
Oman2	17.2482	3.717	160.699	43236.917	0.020027612	0.247131818	-0.002911972
Japan2	478176.78	127.12	4766.015	37492.401	0.000861131	0.24931	0.000811453
Mongolia2	6825.4388	2.926	34.954	11947.931	0.013908481	0.342980909	0.04653087
Korea2	974756.08	50.424	1786.816	35435.857	0.005764295	0.317653636	0.033851819
China2	25750.7542	1367.82	18228.357	13326.576	0.006139403	0.397990909	0.109163761
HongKongSAR2	1604.9677	7.267	401.652	55274.495	0.005546963	0.230545455	0.039357855
TaiwanProvinceofChina2	10516.6806	23.434	1081.481	46150.586	0.004819584	0.236896364	0.035515014
Vietnam2	1450894.584	90.728	513.25	5657.015	0.011988405	0.338222727	0.040077146
Cambodia2	19746.5146	15.313	50.258	3282.019	0.01751383	0.197354545	0.056026198
Thailand2	6357.4644	68.657	1068.42	15561.817	0.008085816	0.245102727	0.034452411
Malaysia2	617.8146	30.709	770.451	25089.184	0.02103812	0.235712727	0.031534593
Indonesia2	4837317.57	252.165	2688.814	10662.924	0.013767646	0.267432727	0.041616574
Philippines2	4226.1464	100.149	694.932	6938.976	0.017312021	0.201186364	0.038502629
Singapore2	218.1005	5.47	458.354	83798.429	0.021979824	0.260776364	0.047190732
Australia2	1187.1306	23.614	1101.559	46648.162	0.014291026	0.266171818	0.016601595
NewZealand2	170.1005	4.555	161.309	35416.726	0.0112837	0.233325455	0.016307035
Brazil2	893.3619	202.777	3291.543	16232.334	0.012611368	0.184507273	0.032587314
Argentina2	512.9115	42.67	854.474	20025.404	0.009918505	0.163914545	0.039442192
Chile2	92427.2789	17.819	410.287	23025.207	0.010794349	0.217862727	0.039374355
